line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
   390  4.106866e-15  -33.126116
   391  4.442518e-05  -10.021704
   392  6.868714e-05   -9.585949
   393  1.505230e-05  -11.103980
   394  9.771968e-08  -16.141163
   395  3.334519e-03   -5.703427
   396  1.589785e-23  -52.495858
   397  5.907497e-09  -18.947044
   398  3.555467e-30  -67.809066
   399  8.956372e-10  -20.833486
   400  1.416546e-13  -29.585385
   401  3.723993e-11  -24.013640
   402  8.478466e-06  -11.677981
   403  5.383047e-06  -12.132256
   404  6.700797e-13  -28.031380
   405  5.739019e-06  -12.068222
   406  2.519125e-10  -22.101939
   407  6.102776e-18  -39.637788
   408  1.007686e-11  -25.320779
   409  6.984457e-15  -32.595089
   410  2.453353e-06  -12.918055
   411  3.912803e-06  -12.451257
   412  2.431222e-11  -24.440042
   413  7.126020e-07  -14.154343
   414  5.692160e-16  -35.102272
   415  1.817553e-09  -20.125775
   416  1.992529e-09  -20.033861
   417  2.992971e-06  -12.719244
   418  2.067064e-29  -66.048839
   419  2.305957e-07  -15.282600
   420  1.269657e-14  -31.997445
   421  1.321917e-13  -29.654523
   422  9.273746e-06  -11.588323
   423  4.761089e-22  -49.096396
   424  7.553200e-09  -18.701294
   425  7.331108e-10  -21.033724
   426  6.280430e-16  -35.003923
   427  1.861273e-08  -17.799420
   428  1.131712e-08  -18.296949
   429  2.182520e-09  -19.942786
   430  4.577442e-10  -21.504711
   431  1.001009e-11  -25.327427
   432  1.078594e-12  -27.555363
   433  4.679156e-07  -14.574978
   434  7.013669e-11  -23.380575
   435  2.005767e-05  -10.816899
   436  1.917765e-07  -15.466935
   437  1.946549e-09  -20.057208
   438  8.104582e-16  -34.748932
   439  3.968546e-04   -7.831941
   440  3.302062e-15  -33.344229
   441  7.250726e-06  -11.834409
   442  2.100528e-14  -31.494003
   443  3.668064e-07  -14.818432
   444  3.397894e-13  -28.710450
   445  2.237986e-04   -8.404764
   446  1.812224e-18  -40.851977
   447  1.103173e-03   -6.809564
   448  1.323330e-08  -18.140529
   449  9.088627e-07  -13.911072
   450  4.613431e-13  -28.404634
   451  7.206114e-11  -23.353506
